"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","task","phase","word_root","is_plural","suffix_shown","condition","subject_id","correct_word","foil_word","correct_index","correct","points_total","species","image","correct_species","is_novel","rep","dup_button_index","nup_button_index","correct_suffix","chosen_suffix","chose_nup","gulu_button_index","norl_button_index","chosen_species","chose_norl"
"4379","
    <div class=""instr-box"">
      <h1>Alien Language Study</h1>
      <p>Welcome, and thank you for taking part in this study.</p>
      <p>In this experiment, you will learn a short <strong>alien language</strong>. You will first practise the words, then learn how different alien species use them.</p>
      <p>The study takes about <strong>50–60 minutes</strong>. Please make sure you are in a quiet place and will not be interrupted.</p>
      <p>Click <strong>Continue</strong> when you are ready to begin.</p>
    </div>","0","html-button-response","0","2.1.0","4382","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9301","
    <div class=""instr-box"">
      <h2>Part 1: Learning the language</h2>
      <p>You will see alien words paired with pictures of objects.</p>
      <ul>
        <li>First, <strong>memorise</strong> each word and its meaning.</li>
        <li>Then you will be tested with <strong>multiple-choice questions</strong>. Choose the correct word for each picture.</li>
        <li>You will receive feedback after each answer.</li>
      </ul>
      <p>Click <strong>Start</strong> to begin.</p>
    </div>","0","html-button-response","1","2.1.0","13684","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4884","
      <div class=""trial-box"">
        <div class=""word-display"">gequzis</div>
        <img src=""images/gequzis_sing.png"" class=""stim-image"" alt=""gequzis_sing.png"">
      </div>","0","html-button-response","2","2.1.0","18569","passive_exposure","stage1","gequzis","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"3566","
      <div class=""trial-box"">
        <div class=""word-display"">neseldup</div>
        <img src=""images/nesel_plur.png"" class=""stim-image"" alt=""nesel_plur.png"">
      </div>","0","html-button-response","3","2.1.0","22136","passive_exposure","stage1","nesel","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"5555","
      <div class=""trial-box"">
        <div class=""word-display"">sehiloddup</div>
        <img src=""images/sehilod_plur.png"" class=""stim-image"" alt=""sehilod_plur.png"">
      </div>","0","html-button-response","4","2.1.0","27692","passive_exposure","stage1","sehilod","true","dup","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"5344","
      <div class=""trial-box"">
        <div class=""word-display"">takoles</div>
        <img src=""images/takoles_sing.png"" class=""stim-image"" alt=""takoles_sing.png"">
      </div>","0","html-button-response","5","2.1.0","33037","passive_exposure","stage1","takoles","false","null","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"6723","
      <div class=""trial-box"">
        <img src=""images/gequzis_sing.png"" class=""stim-image"" alt=""gequzis_sing.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","6","2.1.0","39760","forced_choice","stage1","gequzis","false","","Exposure","guapzdtayb","gequzis","gequsiz","1","true","1","","","","","","","","","","","","","",""
"null","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>gequzis</strong></p>
        </div>","null","html-button-response","7","2.1.0","41762","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
"5430","
      <div class=""trial-box"">
        <img src=""images/sehilod_plur.png"" class=""stim-image"" alt=""sehilod_plur.png"">
        <p class=""instr-text"">Which word matches this picture?</p>
      </div>","1","html-button-response","8","2.1.0","47193","forced_choice","stage1","sehilod","true","","Exposure","guapzdtayb","sehiloddup","siheloddup","1","true","2","","","","","","","","","","","","","",""
"null","
        <div class=""trial-box feedback-box feedback-correct"">
          <p>✓ Correct!</p>
          <p>The correct answer was: <strong>sehiloddup</strong></p>
        </div>","null","html-button-response","9","2.1.0","49196","feedback","stage1","","","","Exposure","guapzdtayb","","","","","","","","","","","","","","","","","","",""
